0310_ZFFL55_AAN155_1E-6_ACN_exc375_comparative

Labels,0310_ZFFL55_AAN155_1E-6_ACN_exc375_O2_NewSample,0310_ZFFL55_AAN155_1E-6_ACN_exc375_5min argon,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_O2,0310_ZFFL55_AAN155_Ba_1E-6_ACN_exc375_5min Argon,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,

762.00,8.72517090E+2,6.62969580E+3,2.68793311E+3,1.41573506E+4,
764.00,8.86965637E+2,6.09898877E+3,2.82153174E+3,1.38625967E+4,
766.00,7.34015991E+2,5.71833301E+3,2.37242163E+3,1.34762783E+4,
768.00,8.06305115E+2,5.37370361E+3,2.74625439E+3,1.30616611E+4,
770.00,7.57583618E+2,5.36403125E+3,2.97642871E+3,1.22992246E+4,
772.00,6.92134583E+2,5.90990967E+3,2.74009399E+3,1.26886582E+4,
774.00,1.16241418E+3,5.21010303E+3,2.67314258E+3,1.13522207E+4,
776.00,8.75651184E+2,5.79801367E+3,2.22019238E+3,1.21394561E+4,
778.00,6.35007019E+2,4.94966748E+3,2.33642627E+3,1.10605508E+4,
780.00,8.34370850E+2,5.07799854E+3,2.55562524E+3,1.09554404E+4,
782.00,3.13819153E+2,4.19378027E+3,1.90176868E+3,1.02545400E+4,
784.00,5.11080078E+2,4.52527881E+3,1.63384851E+3,1.10836406E+4,
786.00,9.43696472E+2,4.07714941E+3,2.21871411E+3,9.69015625E+3,
788.00,5.99345825E+2,4.46784082E+3,1.47305005E+3,1.01610195E+4,
790.00,5.51821716E+2,4.54630908E+3,1.91916077E+3,9.43131348E+3,
792.00,4.22966248E+2,3.85551904E+3,1.53063660E+3,9.95031055E+3,
794.00,5.27644043E+2,4.18388086E+3,1.16729895E+3,8.43489746E+3,
796.00,5.69603821E+2,4.06878271E+3,1.19973425E+3,9.58962207E+3,
798.00,6.83116455E+2,3.53307764E+3,1.44838794E+3,8.35305371E+3,
800.00,5.74087402E+2,3.87189453E+3,9.39158691E+2,8.29806641E+3,
802.00,3.09582214E+2,3.54450562E+3,1.07021143E+3,7.84188721E+3,
804.00,1.02632739E+3,4.73844385E+3,1.05409778E+3,8.27382715E+3,
806.00,3.25949890E+2,3.29686743E+3,1.19752026E+3,8.54298633E+3,
808.00,5.95404114E+2,3.81490674E+3,1.22583032E+3,5.88216406E+3,
810.00,3.07145050E+2,4.58789941E+3,1.36400012E+3,7.59895068E+3,
812.00,8.21587219E+2,4.14568945E+3,1.40922974E+3,6.48228027E+3,
814.00,3.64425476E+2,3.46352515E+3,7.53620850E+2,6.99333594E+3,
816.00,5.74398987E+2,3.32369897E+3,1.05985547E+3,7.00509766E+3,
818.00,5.81356750E+2,3.03347974E+3,1.48695276E+3,6.82302393E+3,
820.00,9.83661682E+2,3.21846973E+3,1.01645758E+3,6.63709082E+3,
822.00,4.75447876E+2,3.07232715E+3,6.93557861E+2,6.56203662E+3,
824.00,1.14431763E+3,2.53136694E+3,1.08110925E+3,5.82978955E+3,
826.00,7.68206360E+2,2.50961523E+3,1.15440881E+3,6.12304346E+3,
828.00,5.94975159E+2,3.31605469E+3,5.42840149E+2,5.58526563E+3,
830.00,6.53556274E+2,2.56467017E+3,1.84454376E+2,6.51174951E+3,
832.00,7.11635376E+2,2.84330249E+3,7.01195313E+2,4.68016064E+3,
834.00,5.73669250E+2,2.65822290E+3,4.75897705E+2,4.55818750E+3,
836.00,0.00000000E+0,2.30518481E+3,2.88692810E+2,5.16046484E+3,
838.00,5.98001587E+2,3.03316748E+3,5.92576599E+2,4.72873779E+3,
840.00,7.63864075E+2,3.13710938E+3,7.01238647E+2,4.91411035E+3,
842.00,6.18891541E+2,2.69626245E+3,6.07500610E+2,4.55905127E+3,
844.00,7.34653076E+2,2.14343652E+3,3.13197662E+2,4.26518506E+3,
846.00,8.56881348E+2,2.27066626E+3,4.78881683E+2,3.82759912E+3,
848.00,2.21684677E+2,1.54820923E+3,9.31092224E+2,3.92269019E+3,
850.00,6.29857239E+2,1.36364673E+3,-1.68923813E+2,3.89730005E+3,
