1909_ZFFL55_AAN155_1E-5_ACN_exc375_ALL

Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,1909_ZFFL55_AAN155_1E-5_ACN_exc375_1minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_2minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_3minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_4minAr,1909_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,,,
Start,400.00,400.00,400.00,400.00,400.00,400.00,
Stop,850.00,850.00,850.00,850.00,850.00,850.00,
Step,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset,375.00,375.00,375.00,375.00,375.00,375.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,False,False,
Repeats,1,1,1,1,1,1,
Dwell Time,0.50,0.50,0.50,0.50,0.50,0.50,
Lamp,Xenon,Xenon,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,None,None,
Scan Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Fixed/Offset Polariser,None,None,None,None,None,None,
Fixed/Offset Slit,2.00,2.00,2.00,2.00,2.00,2.00,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

594.00,6.48982578E+4,1.21767852E+5,1.40338375E+5,1.36721047E+5,1.42226266E+5,1.41198563E+5,
596.00,6.31379727E+4,1.19309539E+5,1.38744531E+5,1.35175875E+5,1.40643203E+5,1.39380125E+5,
598.00,6.11929688E+4,1.18434609E+5,1.37374203E+5,1.34062656E+5,1.38824813E+5,1.39806641E+5,
600.00,5.95031836E+4,1.16087813E+5,1.36558172E+5,1.32907797E+5,1.39080859E+5,1.37700047E+5,
602.00,5.75183359E+4,1.15508898E+5,1.33664391E+5,1.31393219E+5,1.38152500E+5,1.35724047E+5,
604.00,5.48589180E+4,1.14753836E+5,1.34729828E+5,1.29389430E+5,1.36806844E+5,1.34491594E+5,
606.00,5.45786523E+4,1.12531336E+5,1.32358266E+5,1.29512750E+5,1.35655250E+5,1.34045875E+5,
608.00,5.23767656E+4,1.11200648E+5,1.32602969E+5,1.28931039E+5,1.36898672E+5,1.33411156E+5,
610.00,5.12851445E+4,1.11389781E+5,1.30850070E+5,1.28360805E+5,1.31839734E+5,1.31591281E+5,
612.00,5.00773203E+4,1.10102508E+5,1.29613039E+5,1.25663531E+5,1.33647734E+5,1.31968156E+5,
614.00,4.84261289E+4,1.07089188E+5,1.27914281E+5,1.25198867E+5,1.31105266E+5,1.30078813E+5,
616.00,4.78099844E+4,1.06240820E+5,1.28183461E+5,1.24737336E+5,1.30301367E+5,1.28335148E+5,
618.00,4.62288164E+4,1.04693133E+5,1.26684961E+5,1.22733297E+5,1.30069086E+5,1.27064375E+5,
620.00,4.47995820E+4,1.03809289E+5,1.24871781E+5,1.20639750E+5,1.28019203E+5,1.26783906E+5,
622.00,4.43028125E+4,1.03822375E+5,1.22156711E+5,1.20743367E+5,1.26712461E+5,1.25347578E+5,
624.00,4.26629336E+4,9.98919297E+4,1.22998063E+5,1.19381445E+5,1.25906422E+5,1.24375844E+5,
626.00,4.12003516E+4,9.89416641E+4,1.21995273E+5,1.18204516E+5,1.24393359E+5,1.22778602E+5,
628.00,4.14419141E+4,9.72764453E+4,1.19220695E+5,1.16970094E+5,1.21284031E+5,1.23250289E+5,
630.00,3.93814219E+4,9.71832500E+4,1.20365648E+5,1.15635086E+5,1.23056633E+5,1.20433898E+5,
632.00,3.86111602E+4,9.53390313E+4,1.17524148E+5,1.14533883E+5,1.19965359E+5,1.18865836E+5,
634.00,3.82862109E+4,9.51031797E+4,1.17094531E+5,1.13134172E+5,1.20153117E+5,1.17734703E+5,
636.00,3.73778789E+4,9.49819766E+4,1.16575234E+5,1.12089961E+5,1.16488414E+5,1.16942344E+5,
638.00,3.51820898E+4,9.12998125E+4,1.14247141E+5,1.10657219E+5,1.17577719E+5,1.14493219E+5,
640.00,3.47349258E+4,9.02727344E+4,1.12208789E+5,1.09591789E+5,1.16288727E+5,1.13607469E+5,
642.00,3.44320156E+4,8.91464688E+4,1.11687922E+5,1.06870594E+5,1.14509586E+5,1.12065453E+5,
644.00,3.25869102E+4,8.77424766E+4,1.09424125E+5,1.07397906E+5,1.12791828E+5,1.10925773E+5,
646.00,3.21875410E+4,8.65413906E+4,1.11036820E+5,1.03789922E+5,1.14058391E+5,1.10797688E+5,
648.00,3.13523867E+4,8.44932266E+4,1.07355914E+5,1.04541281E+5,1.09841625E+5,1.08353078E+5,
650.00,3.06178828E+4,8.37260703E+4,1.06864211E+5,1.02268445E+5,1.09807367E+5,1.08104578E+5,
652.00,2.99050059E+4,8.30137891E+4,1.04516266E+5,1.01043727E+5,1.06610469E+5,1.06454672E+5,
654.00,3.03214180E+4,8.07175156E+4,1.02584453E+5,1.00807719E+5,1.06682023E+5,1.04785188E+5,
656.00,2.86964434E+4,7.86507891E+4,1.02707336E+5,9.84925078E+4,1.03890594E+5,1.04408297E+5,
658.00,2.72198008E+4,7.69339688E+4,1.00404320E+5,9.63491172E+4,1.04028758E+5,9.99349063E+4,
660.00,2.70495078E+4,7.71571875E+4,9.87951172E+4,9.50425547E+4,1.02845211E+5,9.96850391E+4,
662.00,2.62974551E+4,7.52355156E+4,9.68329609E+4,9.32259297E+4,1.02231094E+5,9.72451406E+4,
664.00,2.63600527E+4,7.47022969E+4,9.64350781E+4,9.35901406E+4,9.93861094E+4,9.84535313E+4,
666.00,2.45626270E+4,7.16636953E+4,9.36802344E+4,9.06557500E+4,9.54479609E+4,9.53545781E+4,
668.00,2.35664922E+4,7.10381094E+4,9.38730391E+4,9.09480547E+4,9.74058828E+4,9.36147031E+4,
670.00,2.37729707E+4,7.08016484E+4,9.09847500E+4,8.82941250E+4,9.48094297E+4,9.30074766E+4,
672.00,2.33701348E+4,6.85760234E+4,8.92662656E+4,8.58693516E+4,9.29661563E+4,9.12317578E+4,
674.00,2.27083652E+4,6.67815703E+4,8.69532500E+4,8.53035000E+4,9.15630391E+4,8.96697188E+4,
676.00,2.18315840E+4,6.53522227E+4,8.55976484E+4,8.39292266E+4,8.96436094E+4,8.90168672E+4,
678.00,2.10040273E+4,6.32810742E+4,8.51107422E+4,8.10191953E+4,8.76373828E+4,8.56275391E+4,
680.00,2.07673398E+4,6.35006680E+4,8.33400313E+4,8.11566797E+4,8.63167031E+4,8.37887344E+4,
