Labels,1909_LIFETIME_AAN155_EPL375_50KHz_20micro_9182ch_30min_slit2_emi502_1minAr,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19997.559000,
Step,2.4414063,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

1408.691400,4.00000000E+0,
1411.132800,2.00000000E+0,
1413.574200,4.00000000E+0,
1416.015600,2.00000000E+0,
1418.457000,4.00000000E+0,
1420.898400,1.00000000E+0,
1423.34000,1.00000000E+0,
1425.781300,4.00000000E+0,
1428.222700,0.00000000E+0,
1430.664100,1.00000000E+0,
1433.105500,6.00000000E+0,
1435.546900,1.00000000E+0,
1437.988300,1.00000000E+0,
1440.43000,1.00000000E+0,
1442.871100,0.00000000E+0,
1445.312500,1.00000000E+0,
1447.753900,2.00000000E+0,
1450.195300,1.00000000E+0,
1452.636700,4.00000000E+0,
1455.078100,3.00000000E+0,
1457.52000,1.00000000E+0,
1459.960900,2.00000000E+0,
1462.402300,1.00000000E+0,
1464.843800,0.00000000E+0,
1467.285200,2.00000000E+0,
1469.726600,3.00000000E+0,
1472.168000,2.00000000E+0,
1474.609400,4.00000000E+0,
1477.050800,1.00000000E+0,
1479.492200,5.00000000E+0,
1481.933600,8.00000000E+0,
1484.375000,3.00000000E+0,
1486.816400,2.00000000E+0,
1489.257800,1.00000000E+0,
1491.699200,1.00000000E+0,
1494.140600,2.00000000E+0,
1496.582000,3.00000000E+0,
1499.023400,4.00000000E+0,
1501.464800,2.00000000E+0,
1503.906300,2.00000000E+0,
1506.347700,3.00000000E+0,
1508.789100,1.00000000E+0,
1511.23000,2.00000000E+0,
1513.671900,4.00000000E+0,
1516.113300,1.00000000E+0,
1518.554700,0.00000000E+0,
1520.996100,2.00000000E+0,
1523.437500,0.00000000E+0,
1525.878900,2.00000000E+0,
1528.32000,2.00000000E+0,
1530.761700,2.00000000E+0,
1533.203100,6.00000000E+0,
1535.644500,2.00000000E+0,
1538.085900,1.00000000E+0,
1540.527300,2.00000000E+0,
1542.968800,5.00000000E+0,
1545.41000,1.00000000E+0,
1547.851600,2.00000000E+0,
1550.293000,3.00000000E+0,
1552.734400,1.00000000E+0,
1555.175800,3.00000000E+0,
1557.617200,2.00000000E+0,
1560.058600,1.00000000E+0,
1562.5000,1.00000000E+0,
1564.941400,2.00000000E+0,
1567.382800,1.00000000E+0,
1569.824200,3.00000000E+0,
1572.265600,2.00000000E+0,
1574.707000,2.00000000E+0,
1577.148400,3.00000000E+0,
1579.59000,3.00000000E+0,
1582.031300,3.00000000E+0,
1584.472700,1.00000000E+0,
1586.914100,1.00000000E+0,
1589.355500,2.00000000E+0,
1591.796900,3.00000000E+0,
1594.238300,2.00000000E+0,
1596.68000,0.00000000E+0,
1599.121100,2.00000000E+0,
1601.562500,2.00000000E+0,
1604.003900,5.00000000E+0,
1606.445300,2.00000000E+0,
1608.886700,3.00000000E+0,
1611.328100,2.00000000E+0,
1613.77000,0.00000000E+0,
1616.210900,1.00000000E+0,
1618.652300,1.00000000E+0,
1621.093800,0.00000000E+0,
1623.535200,1.00000000E+0,
1625.976600,4.00000000E+0,
1628.418000,3.00000000E+0,
1630.859400,1.00000000E+0,
1633.300800,4.00000000E+0,
1635.742200,3.00000000E+0,
1638.183600,0.00000000E+0,
1640.625000,4.00000000E+0,
1643.066400,1.00000000E+0,
1645.507800,1.00000000E+0,
1647.949200,3.00000000E+0,
1650.390600,2.00000000E+0,
1652.832000,1.00000000E+0,
1655.273400,0.00000000E+0,
1657.714800,1.00000000E+0,
1660.156300,2.00000000E+0,
1662.597700,3.00000000E+0,
1665.039100,3.00000000E+0,
1667.48000,1.00000000E+0,
1669.921900,1.00000000E+0,
1672.363300,2.00000000E+0,
1674.804700,2.00000000E+0,
1677.246100,0.00000000E+0,
1679.687500,2.00000000E+0,
1682.128900,3.00000000E+0,
1684.57000,3.00000000E+0,
1687.011700,4.00000000E+0,
1689.453100,3.00000000E+0,
1691.894500,5.00000000E+0,
1694.335900,1.00000000E+0,
1696.777300,2.00000000E+0,
1699.218800,2.00000000E+0,
1701.66000,4.00000000E+0,
1704.101600,3.00000000E+0,
1706.543000,2.00000000E+0,
1708.984400,2.00000000E+0,
1711.425800,2.00000000E+0,
1713.867200,3.00000000E+0,
1716.308600,1.00000000E+0,
1718.75000,3.00000000E+0,
1721.191400,0.00000000E+0,
1723.632800,1.00000000E+0,
1726.074200,1.00000000E+0,
1728.515600,0.00000000E+0,
1730.957000,0.00000000E+0,
1733.398400,2.00000000E+0,
1735.84000,1.00000000E+0,
1738.281300,2.00000000E+0,
1740.722700,1.00000000E+0,
1743.164100,1.00000000E+0,
1745.605500,1.00000000E+0,
1748.046900,5.00000000E+0,
1750.488300,2.00000000E+0,
1752.93000,0.00000000E+0,
1755.371100,3.00000000E+0,
1757.812500,2.00000000E+0,
1760.253900,2.00000000E+0,
1762.695300,2.00000000E+0,
1765.136700,4.00000000E+0,
1767.578100,1.00000000E+0,
1770.02000,2.00000000E+0,
1772.460900,0.00000000E+0,
1774.902300,1.00000000E+0,
1777.343800,1.00000000E+0,
1779.785200,3.00000000E+0,
1782.226600,3.00000000E+0,
1784.668000,4.00000000E+0,
1787.109400,2.00000000E+0,
1789.550800,1.00000000E+0,
1791.992200,2.00000000E+0,
1794.433600,4.00000000E+0,
1796.875000,3.00000000E+0,
1799.316400,4.00000000E+0,
1801.757800,2.00000000E+0,
1804.199200,2.00000000E+0,
1806.640600,3.00000000E+0,
1809.082000,1.00000000E+0,
1811.523400,0.00000000E+0,
1813.964800,0.00000000E+0,
1816.406300,4.00000000E+0,
1818.847700,1.00000000E+0,
1821.289100,2.00000000E+0,
1823.73000,3.00000000E+0,
1826.171900,4.00000000E+0,
1828.613300,1.00000000E+0,
1831.054700,3.00000000E+0,
1833.496100,2.00000000E+0,
1835.937500,3.00000000E+0,
1838.378900,2.00000000E+0,
1840.82000,2.00000000E+0,
1843.261700,0.00000000E+0,
1845.703100,1.00000000E+0,
1848.144500,1.00000000E+0,
1850.585900,2.00000000E+0,
1853.027300,2.00000000E+0,
1855.468800,1.00000000E+0,
1857.91000,2.00000000E+0,
1860.351600,4.00000000E+0,
1862.793000,2.00000000E+0,
1865.234400,1.00000000E+0,
1867.675800,1.00000000E+0,
1870.117200,3.00000000E+0,
1872.558600,3.00000000E+0,
1875.000,1.00000000E+0,
1877.441400,0.00000000E+0,
1879.882800,0.00000000E+0,
1882.324200,0.00000000E+0,
1884.765600,4.00000000E+0,
1887.207000,1.00000000E+0,
1889.648400,1.00000000E+0,
1892.09000,5.00000000E+0,
1894.531300,2.00000000E+0,
1896.972700,1.00000000E+0,
1899.414100,2.00000000E+0,
1901.855500,1.00000000E+0,
1904.296900,4.00000000E+0,
1906.738300,3.00000000E+0,
1909.18000,3.00000000E+0,
1911.621100,1.00000000E+0,
1914.062500,1.00000000E+0,
1916.503900,1.00000000E+0,
1918.945300,3.00000000E+0,
1921.386700,1.00000000E+0,
1923.828100,1.00000000E+0,
1926.27000,2.00000000E+0,
1928.710900,1.00000000E+0,
1931.152300,0.00000000E+0,
1933.593800,3.00000000E+0,
1936.035200,3.00000000E+0,
1938.476600,2.00000000E+0,
1940.918000,0.00000000E+0,
1943.359400,1.00000000E+0,
1945.800800,2.00000000E+0,
1948.242200,1.00000000E+0,
1950.683600,0.00000000E+0,
1953.125000,6.00000000E+0,
1955.566400,2.00000000E+0,
1958.007800,1.00000000E+0,
1960.449200,6.00000000E+0,
1962.890600,1.00000000E+0,
1965.332000,2.00000000E+0,
1967.773400,5.00000000E+0,
1970.214800,3.00000000E+0,
1972.656300,0.00000000E+0,
1975.097700,2.00000000E+0,
1977.539100,1.00000000E+0,
1979.98000,0.00000000E+0,
1982.421900,1.00000000E+0,
1984.863300,2.00000000E+0,
1987.304700,0.00000000E+0,
1989.746100,3.00000000E+0,
1992.187500,1.00000000E+0,
1994.628900,4.00000000E+0,
1997.07000,2.00000000E+0,
1999.511700,0.00000000E+0,
