Labels,0310_LIFETIME_AAN155_1e-7_EPL375_100KHz_5micro_1024ch_30min_slit2_emi620_5min Argon,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,4995.117200,
Step,4.8828125,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

3959.960900,2.00000000E+0,
3964.843800,3.00000000E+0,
3969.726600,7.00000000E+0,
3974.609400,8.00000000E+0,
3979.492200,7.00000000E+0,
3984.375000,5.00000000E+0,
3989.257800,1.00000000E+1,
3994.140600,5.00000000E+0,
3999.023400,6.00000000E+0,
4003.906300,7.00000000E+0,
4008.789100,8.00000000E+0,
4013.671900,6.00000000E+0,
4018.554700,6.00000000E+0,
4023.437500,7.00000000E+0,
4028.32000,9.00000000E+0,
4033.203100,6.00000000E+0,
4038.085900,7.00000000E+0,
4042.968800,3.00000000E+0,
4047.851600,8.00000000E+0,
4052.734400,7.00000000E+0,
4057.617200,7.00000000E+0,
4062.5000,7.00000000E+0,
4067.382800,4.00000000E+0,
4072.265600,5.00000000E+0,
4077.148400,4.00000000E+0,
4082.031300,1.30000000E+1,
4086.914100,9.00000000E+0,
4091.796900,6.00000000E+0,
4096.68000,6.00000000E+0,
4101.562500,7.00000000E+0,
4106.445300,9.00000000E+0,
4111.328100,4.00000000E+0,
4116.210900,7.00000000E+0,
